name,category,NORAD ID,Int'l Code,Perigee,Apogee,Inclination,Period,Semi major axis,RCS,Launch date,Source,Launch site
SKYNET 4A,Geostationary,20401,1990-001A,"36,103.6 km","36,204.1 km",13.3 &deg,"1,454.5 minutes",42524 km,9.1377 m,1990,United Kingdom (UK),AIR FORCE EASTERN TEST RANGE (AFETR)
JCSAT 2,Geostationary,20402,1990-001B,"36,031.5 km","36,543.0 km",14.2 &deg,"1,461.4 minutes",42658 km,1 m,1990,Japan (JPN),AIR FORCE EASTERN TEST RANGE (AFETR)
LEASAT 5,Geostationary,20410,1990-002B,"35,945.7 km","36,025.5 km",11.7 &deg,"1,445.9 minutes",42356 km,12.5892 m,1990,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
STTW-4,Geostationary,20473,1990-011A,"35,775.8 km","35,835.0 km",15.1 &deg,"1,436.7 minutes",42176 km,15.8489 m,1990,People's Republic of China (PRC),"Xichang Space Center, China (XSC)"
INTELSAT 603,Intelsat,20523,1990-021A,"35,972.0 km","36,061.4 km",12.6 &deg,"1,447.5 minutes",42387 km,8.254 m,1990,International Telecommunications Satellite Organization (ITSO),AIR FORCE EASTERN TEST RANGE (AFETR)
ASIASAT 1,Geostationary,20558,1990-030A,"36,055.6 km","36,111.9 km",14.5 &deg,"1,450.9 minutes",42454 km,22.5892 m,1990,Asia Satellite Telecommunications Company (ASIASAT) (AC),"Xichang Space Center, China (XSC)"
NEWSAT-1 (PALAPA B2R),Geostationary,20570,1990-034A,"35,951.8 km","36,056.0 km",13.9 &deg,"1,446.8 minutes",42374 km,1 m,1990,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
INSAT 1D,Geostationary,20643,1990-051A,"35,734.3 km","35,856.3 km",14.7 &deg,"1,436.2 minutes",42166 km,2 m,1990,India (IND),AIR FORCE EASTERN TEST RANGE (AFETR)
INTELSAT 604,Intelsat,20667,1990-056A,"36,282.3 km","36,352.4 km",13.1 &deg,"1,462.9 minutes",42688 km,9.3925 m,1990,International Telecommunications Satellite Organization (ITSO),AIR FORCE EASTERN TEST RANGE (AFETR)
COSMOS 2085,Geostationary,20693,1990-061A,"35,767.4 km","35,820.6 km",14.7 &deg,"1,436.1 minutes",42164 km,0.31 m,1990,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
TDF 2,Geostationary,20705,1990-063A,"36,078.6 km","36,454.6 km",14.9 &deg,"1,460.3 minutes",42637 km,2.5692 m,1990,France (FR),FRENCH GUIANA (FRGUI)
DFS 2,Geostationary,20706,1990-063B,"35,978.5 km","36,018.9 km",13.7 &deg,"1,446.6 minutes",42369 km,2 m,1990,Germany (GER),FRENCH GUIANA (FRGUI)
THOR 1 (MARCOPOLO 2),Geostationary,20762,1990-074A,"36,077.8 km","36,112.1 km",13.4 &deg,"1,451.5 minutes",42465 km,2.5118 m,1990,Norway (NOR),AIR FORCE EASTERN TEST RANGE (AFETR)
BS-3A (YURI 3A),Geostationary,20771,1990-077A,"36,180.9 km","36,234.5 km",15.4 &deg,"1,457.3 minutes",42578 km,1.6597 m,1990,Japan (JPN),TANEGASHIMA SPACE CENTER (TNSTA)
GALAXY 6,Geostationary,20873,1990-091B,"35,925.8 km","35,944.5 km",12.5 &deg,"1,443.3 minutes",42306 km,8.9757 m,1990,United States (US),FRENCH GUIANA (FRGUI)
SBS 6,Geostationary,20872,1990-091A,"36,120.8 km","36,193.1 km",9.4 &deg,"1,454.7 minutes",42527 km,24.6021 m,1990,United States (US),FRENCH GUIANA (FRGUI)
EUTELSAT 2-F1,Geostationary,20777,1990-079B,"36,042.3 km","36,065.6 km",14.6 &deg,"1,449.4 minutes",42424 km,5.9668 m,1990,European Telecommunications Satellite Organization (EUTE),FRENCH GUIANA (FRGUI)
SKYNET 4C,Geostationary,20776,1990-079A,"35,784.9 km","35,803.3 km",14.0 &deg,"1,436.1 minutes",42165 km,11.1055 m,1990,United Kingdom (UK),FRENCH GUIANA (FRGUI)
INMARSAT 2-F1,Geostationary,20918,1990-093A,"36,137.5 km","36,242.8 km",12.0 &deg,"1,456.4 minutes",42561 km,25.1189 m,1990,International Mobile Satellite Organization (INMARSAT) (IM),AIR FORCE EASTERN TEST RANGE (AFETR)
USA 65,Geostationary,20929,1990-095A,"36,281.3 km","36,373.0 km",15.3 &deg,"1,463.4 minutes",42698 km,Unknown,1990,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
SATCOM C1,Geostationary,20945,1990-100A,"36,023.9 km","36,177.3 km",11.4 &deg,"1,451.8 minutes",42471 km,6.3 m,1990,United States (US),FRENCH GUIANA (FRGUI)
LANDSAT 1 (ERTS 1),Earth resources,6126,1972-058A,903.8 km,915.0 km,99.2 &deg,103.0 minutes,7280 km,2.9628 m,1972,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
LANDSAT 2,Earth resources,7615,1975-004A,906.7 km,918.2 km,98.8 &deg,103.1 minutes,7283 km,3.0869 m,1975,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
LANDSAT 3,Earth resources,10702,1978-026A,901.3 km,923.5 km,98.8 &deg,103.1 minutes,7283 km,3.0427 m,1978,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
GSTAR 4,Geostationary,20946,1990-100B,"36,066.6 km","36,157.6 km",12.7 &deg,"1,452.4 minutes",42483 km,8.7599 m,1990,United States (US),FRENCH GUIANA (FRGUI)
NATO 4A,Geostationary,21047,1991-001A,"36,347.6 km","36,372.3 km",13.3 &deg,"1,465.1 minutes",42730 km,5.4891 m,1991,North Atlantic Treaty Organization (NATO),AIR FORCE EASTERN TEST RANGE (AFETR)
ITALSAT 1,Geostationary,21055,1991-003A,"35,794.4 km","35,958.4 km",14.9 &deg,"1,440.3 minutes",42247 km,3.4358 m,1991,Italy (IT),FRENCH GUIANA (FRGUI)
EUTELSAT 2-F2,Geostationary,21056,1991-003B,"36,141.7 km","36,199.3 km",14.2 &deg,"1,455.4 minutes",42541 km,9.1028 m,1991,European Telecommunications Satellite Organization (EUTE),FRENCH GUIANA (FRGUI)
COSMOS 2133,Geostationary,21111,1991-010A,"35,767.6 km","35,824.8 km",14.6 &deg,"1,436.2 minutes",42167 km,12.1 m,1991,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
ASTRA 1B,Geostationary,21139,1991-015A,"36,225.1 km","36,364.2 km",10.7 &deg,"1,461.8 minutes",42665 km,8.8634 m,1991,Luxembourg (LUXE),FRENCH GUIANA (FRGUI)
METEOSAT 5 (MOP 2),Geostationary,21140,1991-015B,"36,295.0 km","36,329.8 km",15.3 &deg,"1,462.7 minutes",42683 km,15.8489 m,1991,European Space Agency (ESA),FRENCH GUIANA (FRGUI)
INMARSAT 2-F2,Geostationary,21149,1991-018A,"36,211.9 km","36,253.7 km",11.5 &deg,"1,458.6 minutes",42603 km,12.5893 m,1991,International Mobile Satellite Organization (INMARSAT) (IM),AIR FORCE EASTERN TEST RANGE (AFETR)
ANIK E2,Geostationary,21222,1991-026A,"36,062.7 km","36,172.4 km",12.3 &deg,"1,452.7 minutes",42488 km,12.1056 m,1991,Canada (CA),FRENCH GUIANA (FRGUI)
SPACENET 4 (ASC 2),Geostationary,21227,1991-028A,"35,957.4 km","36,029.7 km",11.9 &deg,"1,446.3 minutes",42364 km,6.3095 m,1991,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
AURORA 2,Geostationary,21392,1991-037A,"36,135.4 km","36,161.9 km",13.7 &deg,"1,454.3 minutes",42519 km,3.1622 m,1991,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
TDRS 5,Geostationary,21639,1991-054B,"35,672.5 km","35,912.7 km",14.3 &deg,"1,436.0 minutes",42163 km,20.8608 m,1991,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
INTELSAT 605,Intelsat,21653,1991-055A,"36,043.9 km","36,078.2 km",11.3 &deg,"1,449.8 minutes",42432 km,0.754 m,1991,International Telecommunications Satellite Organization (ITSO),FRENCH GUIANA (FRGUI)
BS-3B (YURI 3B),Geostationary,21668,1991-060A,"36,183.1 km","36,243.5 km",13.4 &deg,"1,457.6 minutes",42584 km,1.6 m,1991,Japan (JPN),TANEGASHIMA SPACE CENTER (TNSTA)
SEASAT 1,Earth resources,10967,1978-064A,752.2 km,753.8 km,108.0 &deg,99.7 minutes,7124 km,10.0164 m,1978,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
LANDSAT 4,Earth resources,13367,1982-072A,512.9 km,530.7 km,98.2 &deg,94.9 minutes,6892 km,7.754 m,1982,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
COSMOS 1602,Earth resources,15331,1984-105A,521.9 km,541.1 km,82.5 &deg,95.1 minutes,6902 km,9.6826 m,1984,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
LANDSAT 5,Earth resources,14780,1984-021A,536.9 km,660.5 km,98.2 &deg,96.5 minutes,6969 km,10.4048 m,1984,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
SPOT 1,Earth resources,16613,1986-019A,583.5 km,783.7 km,98.7 &deg,98.3 minutes,7054 km,9.2289 m,1986,France (FR),FRENCH GUIANA (FRGUI)
COSMOS 1766,Earth resources,16881,1986-055A,528.3 km,552.2 km,82.5 &deg,95.3 minutes,6911 km,9.3716 m,1986,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
MOS 1A (MOMO 1),Earth resources,17527,1987-018A,886.4 km,897.8 km,99.2 &deg,102.7 minutes,7263 km,3.8177 m,1987,Japan (JPN),TANEGASHIMA SPACE CENTER (TNSTA)
COSMOS 1869,Earth resources,18214,1987-062A,529.7 km,567.7 km,82.5 &deg,95.5 minutes,6919 km,9.6054 m,1987,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
IRS 1A,Earth resources,18960,1988-021A,901.8 km,922.4 km,99.1 &deg,103.1 minutes,7283 km,4.2211 m,1988,India (IND),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SPOT 2,Earth resources,20436,1990-005A,577.2 km,781.3 km,98.7 &deg,98.2 minutes,7050 km,6.4022 m,1990,France (FR),FRENCH GUIANA (FRGUI)
OKEAN 1,Earth resources,19274,1988-056A,547.3 km,561.3 km,82.5 &deg,95.6 minutes,6925 km,10.0136 m,1988,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
MOS 1B (MOMO 1B),Earth resources,20478,1990-013A,911.8 km,921.3 km,99.4 &deg,103.2 minutes,7287 km,3.7354 m,1990,Japan (JPN),TANEGASHIMA SPACE CENTER (TNSTA)
OKEAN 2,Earth resources,20510,1990-018A,567.5 km,583.9 km,82.5 &deg,96.0 minutes,6946 km,10.2318 m,1990,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
OKEAN 3,Earth resources,21397,1991-039A,584.7 km,607.2 km,82.5 &deg,96.5 minutes,6966 km,9.3282 m,1991,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
ANIK E1,Geostationary,21726,1991-067A,"36,058.3 km","36,149.5 km",12.3 &deg,"1,452.0 minutes",42474 km,13.0309 m,1991,Canada (CA),FRENCH GUIANA (FRGUI)
ERS 1,Earth resources,21574,1991-050A,749.1 km,797.1 km,98.6 &deg,100.2 minutes,7144 km,11.0086 m,1991,European Space Agency (ESA),FRENCH GUIANA (FRGUI)
INTELSAT 601,Intelsat,21765,1991-075A,"35,960.4 km","36,012.3 km",11.2 &deg,"1,445.9 minutes",42357 km,16.4798 m,1991,International Telecommunications Satellite Organization (ITSO),FRENCH GUIANA (FRGUI)
COSMOS 2172,Geostationary,21789,1991-079A,"35,751.4 km","35,820.1 km",14.8 &deg,"1,435.7 minutes",42156 km,5.0118 m,1991,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
EUTELSAT 2-F3,Geostationary,21803,1991-083A,"36,044.7 km","36,095.6 km",14.1 &deg,"1,450.2 minutes",42441 km,3.9811 m,1991,European Telecommunications Satellite Organization (EUTE),AIR FORCE EASTERN TEST RANGE (AFETR)
TELECOM 2A,Geostationary,21813,1991-084A,"36,146.9 km","36,190.7 km",13.4 &deg,"1,455.3 minutes",42539 km,12.6041 m,1991,France (FR),FRENCH GUIANA (FRGUI)
INMARSAT 2-F3,Geostationary,21814,1991-084B,"36,931.7 km","37,102.0 km",12.3 &deg,"1,499.0 minutes",43387 km,12.5892 m,1991,International Mobile Satellite Organization (INMARSAT) (IM),FRENCH GUIANA (FRGUI)
STTW-5,Geostationary,21833,1991-088A,"2,038.0 km","34,039.6 km",31.3 &deg,632.6 minutes,24409 km,5.5954 m,1991,People's Republic of China (PRC),"Xichang Space Center, China (XSC)"
INSAT 2R (ARABSAT 1C),Geostationary,21894,1992-010B,"36,146.6 km","36,341.9 km",12.7 &deg,"1,459.2 minutes",42615 km,2.2387 m,1992,India (IND),FRENCH GUIANA (FRGUI)
SUPERBIRD B1,Geostationary,21893,1992-010A,"36,067.4 km","36,209.4 km",13.4 &deg,"1,453.7 minutes",42509 km,7.9433 m,1992,Japan (JPN),FRENCH GUIANA (FRGUI)
GALAXY 5,Geostationary,21906,1992-013A,"35,991.6 km","36,152.4 km",11.2 &deg,"1,450.3 minutes",42442 km,6.79 m,1992,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
TELECOM 2B,Geostationary,21939,1992-021A,"35,910.0 km","36,099.4 km",13.7 &deg,"1,446.9 minutes",42375 km,17.6116 m,1992,France (FR),FRENCH GUIANA (FRGUI)
GORIZONT 25,Gorizont,21922,1992-017A,"35,785.2 km","36,037.3 km",14.9 &deg,"1,442.1 minutes",42282 km,6.3246 m,1992,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
INMARSAT 2-F4,Geostationary,21940,1992-021B,"36,426.9 km","36,490.9 km",10.3 &deg,"1,470.2 minutes",42829 km,13.8053 m,1992,International Mobile Satellite Organization (INMARSAT) (IM),FRENCH GUIANA (FRGUI)
PALAPA B4,Geostationary,21964,1992-027A,"35,850.1 km","35,917.1 km",11.0 &deg,"1,440.7 minutes",42254 km,12.5892 m,1992,Indonesia (INDO),AIR FORCE EASTERN TEST RANGE (AFETR)
TOPEX/POSEIDON,Earth resources,22076,1992-052A,"1,338.3 km","1,350.7 km",66.0 &deg,112.4 minutes,7715 km,8.6832 m,1992,United States (US),FRENCH GUIANA (FRGUI)
IRS 1B,Earth resources,21688,1991-061A,892.8 km,927.4 km,99.2 &deg,103.1 minutes,7281 km,4.2636 m,1991,India (IND),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SPOT 3,Earth resources,22823,1993-061A,822.1 km,847.9 km,99.1 &deg,101.5 minutes,7205 km,8.374 m,1993,France (FR),FRENCH GUIANA (FRGUI)
IRS P2,Earth resources,23323,1994-068A,818.9 km,820.5 km,98.9 &deg,101.1 minutes,7190 km,4.033 m,1994,India (IND),SRIHARIKOTA (SRI)
OKEAN 4,Earth resources,23317,1994-066A,597.3 km,626.8 km,82.5 &deg,96.8 minutes,6983 km,7.298 m,1994,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
RESURS O1,Earth resources,23342,1994-074A,637.6 km,638.9 km,97.9 &deg,97.3 minutes,7009 km,6.0741 m,1994,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
ERS 2,Earth resources,23560,1995-021A,502.0 km,505.0 km,98.5 &deg,94.5 minutes,6874 km,9.2311 m,1995,European Space Agency (ESA),FRENCH GUIANA (FRGUI)
SICH 1,Earth resources,23657,1995-046A,601.2 km,633.0 km,82.5 &deg,96.9 minutes,6988 km,8.3637 m,1995,Commonwealth of Independent States (former USSR) (CIS),PLESETSK MISSILE AND SPACE COMPLEX (PKMTR)
IRS 1C,Earth resources,23751,1995-072A,823.0 km,824.3 km,98.8 &deg,101.2 minutes,7194 km,4.565 m,1995,India (IND),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
RADARSAT,Earth resources,23710,1995-059A,795.3 km,797.3 km,98.6 &deg,100.6 minutes,7167 km,3.6219 m,1995,Canada (CA),AIR FORCE WESTERN TEST RANGE (AFWTR)
IRS B3,Earth resources,23827,1996-017A,821.5 km,825.8 km,98.8 &deg,101.2 minutes,7194 km,2.718 m,1996,India (IND),SRIHARIKOTA (SRI)
TOMS EP,Earth resources,23940,1996-037A,696.1 km,734.9 km,98.2 &deg,98.9 minutes,7086 km,1.8693 m,1996,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
ADEOS,Earth resources,24277,1996-046A,799.1 km,802.3 km,98.9 &deg,100.7 minutes,7171 km,22.6139 m,1996,Japan (JPN),TANEGASHIMA SPACE CENTER (TNSTA)
ORBVIEW 2 (SEASTAR),Earth resources,24883,1997-037A,785.3 km,788.7 km,98.6 &deg,100.4 minutes,7158 km,3.0265 m,1997,United States (US),Pegasus launched from Western Range Air Space (WRAS)
INSAT 2A,Geostationary,22027,1992-041A,"35,807.6 km","35,846.6 km",14.8 &deg,"1,437.8 minutes",42198 km,1.9952 m,1992,India (IND),FRENCH GUIANA (FRGUI)
EUTELSAT 2-F4,Geostationary,22028,1992-041B,"36,117.1 km","36,146.4 km",13.7 &deg,"1,453.4 minutes",42502 km,3.1622 m,1992,European Telecommunications Satellite Organization (EUTE),FRENCH GUIANA (FRGUI)
OPTUS B1 (AUSSAT B1),Geostationary,22087,1992-054A,"36,045.6 km","36,147.0 km",10.1 &deg,"1,451.6 minutes",42467 km,25.1188 m,1992,Australia (AUS),"Xichang Space Center, China (XSC)"
GORIZONT 26,Gorizont,22041,1992-043A,"35,968.2 km","36,203.0 km",15.0 &deg,"1,451.0 minutes",42456 km,7.9433 m,1992,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SATCOM C4,Geostationary,22096,1992-057A,"36,126.6 km","36,171.5 km",11.6 &deg,"1,454.3 minutes",42520 km,6.3095 m,1992,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
HISPASAT 1A,Geostationary,22116,1992-060A,"36,032.8 km","36,096.8 km",12.7 &deg,"1,450.0 minutes",42435 km,7.143 m,1992,Spain (SPN),FRENCH GUIANA (FRGUI)
SATCOM C3,Geostationary,22117,1992-060B,"36,608.2 km","36,858.1 km",11.5 &deg,"1,484.4 minutes",43104 km,6.9709 m,1992,United States (US),FRENCH GUIANA (FRGUI)
HELLAS SAT 1 (DFS 3),Geostationary,22175,1992-066A,"35,916.1 km","35,973.2 km",13.0 &deg,"1,443.8 minutes",42315 km,4.2132 m,1992,Greece (GREC),AIR FORCE EASTERN TEST RANGE (AFETR)
GALAXY 7,Geostationary,22205,1992-072A,"35,898.5 km","36,007.6 km",13.7 &deg,"1,444.2 minutes",42324 km,5.2739 m,1992,United States (US),FRENCH GUIANA (FRGUI)
EKRAN 20,Geostationary,22210,1992-074A,"35,758.7 km","35,802.4 km",14.9 &deg,"1,435.4 minutes",42151 km,6.3095 m,1992,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SUPERBIRD A1,Geostationary,22253,1992-084A,"36,071.7 km","36,167.5 km",9.9 &deg,"1,452.8 minutes",42490 km,12.5892 m,1992,Japan (JPN),FRENCH GUIANA (FRGUI)
GORIZONT 27,Gorizont,22245,1992-082A,"35,742.3 km","35,880.1 km",14.9 &deg,"1,437.0 minutes",42182 km,5.0119 m,1992,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
COSMOS 2224,Geostationary,22269,1992-088A,"35,785.4 km","35,800.2 km",14.5 &deg,"1,436.0 minutes",42163 km,7.9432 m,1992,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
TDRS 6,Geostationary,22314,1993-003B,"35,755.6 km","35,831.2 km",14.0 &deg,"1,436.1 minutes",42164 km,25.5943 m,1993,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
IRS 1D,Earth resources,24971,1997-057A,747.6 km,823.5 km,98.6 &deg,100.4 minutes,7156 km,3.9202 m,1997,India (IND),SRIHARIKOTA (SRI)
SPOT 4,Earth resources,25260,1998-017A,712.5 km,729.5 km,98.3 &deg,99.1 minutes,7091 km,6.159 m,1998,France (FR),FRENCH GUIANA (FRGUI)
RESURS O1-N4,Earth resources,25394,1998-043A,815.8 km,819.3 km,98.7 &deg,101.1 minutes,7188 km,7.397 m,1998,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
FASAT B,Earth resources,25395,1998-043B,811.9 km,817.6 km,98.7 &deg,101.0 minutes,7185 km,0.4541 m,1998,Chile (CHLE),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SCD 2,Earth resources,25504,1998-060A,739.7 km,764.6 km,25.0 &deg,99.7 minutes,7123 km,0.4871 m,1998,Brazil (BRAZ),Pegasus launched from Eastern Range Air Space (ERAS)
ROCSAT 1,Earth resources,25616,1999-002A,468.4 km,497.5 km,34.9 &deg,94.1 minutes,6853 km,2.471 m,1999,Taiwan (Republic of China) (ROC),AIR FORCE EASTERN TEST RANGE (AFETR)
LANDSAT 7,Earth resources,25682,1999-020A,708.6 km,710.3 km,98.1 &deg,98.8 minutes,7080 km,4.7002 m,1999,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
KITSAT 3,Earth resources,25756,1999-029A,711.2 km,729.7 km,98.5 &deg,99.1 minutes,7091 km,0.5794 m,1999,South Korea (SKOR),SRIHARIKOTA (SRI)
TUBSAT,Earth resources,25757,1999-029B,718.8 km,737.5 km,98.4 &deg,99.2 minutes,7099 km,0.258 m,1999,Germany (GER),SRIHARIKOTA (SRI)
IRS P4 (OCEANSAT 1),Earth resources,25758,1999-029C,722.7 km,726.4 km,98.0 &deg,99.1 minutes,7095 km,3.5411 m,1999,India (IND),SRIHARIKOTA (SRI)
UFO 1 (USA 98),Geostationary,22563,1993-015A,"36,060.7 km","36,105.1 km",20.6 &deg,"1,450.9 minutes",42453 km,8.2516 m,1993,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
RADUGA 29,Geostationary,22557,1993-013A,"35,756.3 km","35,813.5 km",14.9 &deg,"1,435.6 minutes",42155 km,11.2334 m,1993,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
HGS 4 (GALAXY 4),Geostationary,22694,1993-039A,"35,759.1 km","35,831.5 km",14.6 &deg,"1,436.2 minutes",42166 km,28.88 m,1993,United States (US),FRENCH GUIANA (FRGUI)
ASTRA 1C,Geostationary,22653,1993-031A,"36,164.4 km","36,234.8 km",9.9 &deg,"1,456.9 minutes",42570 km,14.13 m,1993,SOCIETE EUROPEENNE DES SATELLITES (SES),FRENCH GUIANA (FRGUI)
HISPASAT 1B,Geostationary,22723,1993-048A,"35,908.7 km","35,985.2 km",11.9 &deg,"1,443.9 minutes",42317 km,7.9621 m,1993,Spain (SPN),FRENCH GUIANA (FRGUI)
INSAT 2B,Geostationary,22724,1993-048B,"35,830.6 km","35,918.8 km",13.7 &deg,"1,440.2 minutes",42245 km,19.9526 m,1993,India (IND),FRENCH GUIANA (FRGUI)
ACTS,Geostationary,22796,1993-058B,"35,617.2 km","35,970.1 km",14.5 &deg,"1,436.1 minutes",42164 km,21.8582 m,1993,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
RADUGA 30,Geostationary,22836,1993-062A,"35,773.8 km","35,818.9 km",14.9 &deg,"1,436.2 minutes",42167 km,0.31 m,1993,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
INTELSAT 701,Intelsat,22871,1993-066A,"36,033.7 km","36,088.6 km",6.2 &deg,"1,449.8 minutes",42432 km,25.1189 m,1993,International Telecommunications Satellite Organization (ITSO),FRENCH GUIANA (FRGUI)
GORIZONT 28,Gorizont,22880,1993-069A,"35,834.5 km","36,103.5 km",14.9 &deg,"1,445.1 minutes",42339 km,15.8866 m,1993,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
GORIZONT 29,Gorizont,22907,1993-072A,"35,772.9 km","35,892.7 km",14.8 &deg,"1,438.1 minutes",42203 km,10 m,1993,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
SOLIDARIDAD 1,Geostationary,22911,1993-073A,"35,788.0 km","35,801.7 km",13.6 &deg,"1,436.2 minutes",42165 km,12.5989 m,1993,Mexico (MEX),FRENCH GUIANA (FRGUI)
TELSTAR 401,Geostationary,22927,1993-077A,"35,748.8 km","35,846.7 km",14.9 &deg,"1,436.3 minutes",42168 km,22.2125 m,1993,United States (US),AIR FORCE EASTERN TEST RANGE (AFETR)
METEOSAT 6,Geostationary,22912,1993-073B,"36,156.8 km","36,159.4 km",13.9 &deg,"1,454.8 minutes",42529 km,8.2595 m,1993,European Organisation for the Exploitation of Meteorological Satellites (EUME),FRENCH GUIANA (FRGUI)
NATO 4B,Geostationary,22921,1993-076A,"36,261.2 km","36,322.5 km",12.5 &deg,"1,461.6 minutes",42662 km,14.1741 m,1993,North Atlantic Treaty Organization (NATO),AIR FORCE EASTERN TEST RANGE (AFETR)
QUIKSCAT,Earth resources,25789,1999-034A,665.0 km,804.5 km,98.6 &deg,99.4 minutes,7105 km,2.9895 m,1999,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
OKEAN O,Earth resources,25860,1999-039A,646.2 km,647.9 km,98.2 &deg,97.5 minutes,7018 km,19.8052 m,1999,Commonwealth of Independent States (former USSR) (CIS),TYURATAM MISSILE AND SPACE COMPLEX (TTMTR)
CBERS 1,Earth resources,25940,1999-057A,776.1 km,785.0 km,98.6 &deg,100.3 minutes,7151 km,3.5429 m,1999,China/Brazil (CHBZ),"Taiyaun Space Center, China (TSC)"
IKONOS 2,Earth resources,25919,1999-051A,608.5 km,617.3 km,98.1 &deg,96.8 minutes,6983 km,4.1871 m,1999,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
TERRA,Space & Earth Science,25994,1999-068A,708.7 km,710.6 km,98.2 &deg,98.8 minutes,7080 km,13.0039 m,1999,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
KOMPSAT,Earth resources,26032,1999-070A,666.8 km,674.0 km,98.0 &deg,98.0 minutes,7041 km,2.132 m,1999,South Korea (SKOR),AIR FORCE WESTERN TEST RANGE (AFWTR)
EO 1,Earth resources,26619,2000-075A,679.1 km,692.3 km,97.8 &deg,98.3 minutes,7056 km,1.7418 m,2000,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
SAC C,Earth resources,26620,2000-075B,702.8 km,705.0 km,98.3 &deg,98.7 minutes,7074 km,3.89 m,2000,Argentina (ARGN),AIR FORCE WESTERN TEST RANGE (AFWTR)
JASON,Earth resources,26997,2001-055A,"1,325.4 km","1,339.8 km",66.0 &deg,112.1 minutes,7703 km,3.3256 m,2001,United States (US),AIR FORCE WESTERN TEST RANGE (AFWTR)
TES,Earth resources,26957,2001-049A,512.3 km,565.5 km,97.7 &deg,95.3 minutes,6909 km,3.0893 m,2001,India (IND),SRIHARIKOTA (SRI)
